tweets,sentiment
@agendadaily Kesian Dato Seri Anuar Ibrahim.. asyik jd kambing hitam je.. walhal xde apa2 jawatan pun dalam kerajaa… https://t.co/foGFH9d2lo,"{'neg': 0.146, 'neu': 0.763, 'pos': 0.091, 'compound': -0.0772}"
@mkini_bm Rakyat tolak PH bkn disebabkn Dato Seri Anuar Ibrahim tp sebab lim guan eng yg menyentuh keistimewaan org… https://t.co/uNq7elkdNV,"{'neg': 0.073, 'neu': 0.803, 'pos': 0.124, 'compound': 0.34}"
@hannahyeoh No matter what we says..people will think Anuar ibrahim is push election.,"{'neg': 0.082, 'neu': 0.918, 'pos': 0.0, 'compound': -0.0191}"
"@La_FarEast Korang dah tengok ke yang dia cakap “for me 🤫 anuar ibrahim. She’s a, 😲 hee is a sweet talker you know… https://t.co/y9rpLFSXfm","{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.6808}"
RT @HartanahTimur: @kuhaslinda_a1 Dia ckp Anuar Musa xsuke bukan Anwar Ibrahim xsuke 🤭🤭mane ngam😆😆,"{'neg': 0.0, 'neu': 0.652, 'pos': 0.348, 'compound': 0.9169}"
@kuhaslinda_a1 Dia ckp Anuar Musa xsuke bukan Anwar Ibrahim xsuke 🤭🤭mane ngam😆😆,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.9169}"
@MynameisIzat @kuhaslinda_a1 Anuar ibrahim macamana pulak. Jubo tait,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@IswardyMorni @rafiziramli Harapan kami terlalu tinggi kepada RR and team serta Anuar Ibrahim. Tolonglah.....kembal… https://t.co/pa96sh8YF7,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.4215}"
#ARRC | ⏪ Perlumbaan hebat 3 pelumba 🇲🇾 memastikan podium SS600 Race 1 di Round 2 semalam didominasi oleh Ibrahim N… https://t.co/LI3N533HSI,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.6249}"
"Kalau main dengan ‘ kalau ‘ ni, Anuar ibrahim boleh jadi PM https://t.co/I0ddInnkwV","{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.34}"
